Tempo: 585370 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 586370 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 589390 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 590390 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 594390 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 595390 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 598410 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 599410 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 603410 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 604410 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 607430 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 608430 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 612430 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 613430 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 616450 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 617450 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 621450 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 622450 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 625470 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 626470 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 630470 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 631470 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 634490 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 635490 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 639490 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 640490 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 643510 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 644510 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 648510 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 649510 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 652530 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 653530 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 657530 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 658530 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 661550 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 662550 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 666550 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 667550 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 670570 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 671570 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 675570 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 676570 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 679590 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 680590 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 684590 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 685590 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 688610 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 689610 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 693610 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 694610 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 697630 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 698630 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 702630 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 703630 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 706650 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 707650 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 711650 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 712650 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 715670 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 716670 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 720670 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 721670 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 724690 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 725690 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 729690 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 730690 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 733710 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 734710 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 738710 ns, Transição para -> Carros: 010, Pedestres: 001
